id,roottype,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,SA1,SA2,SA3,SA4,SA5,SA6,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,Dmean1,Dmean2,Dmean3,Dmean4,Dmean5,Dmean6,Dmean7,Dmean8,Dmean9,Dmean10,Dmean11,Dmean12,Dmean13,Dmean14,Lmean1,Lmean2,Lmean3,Lmean4,Lmean5,Lmean6,Lmean7,Lmean8,Lmean9,Lmean10,Lmean11,Lmean12,Lmean13,Lmean14,Lmax1,Lmax2,Lmax3,Lmax4,Lmax5,Lmax6,Lmax7,Lmax8,Lmax9,Lmax10,Lmax11,Lmax12,Lmax13,Lmax14
4,primaryroot,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3.6870808,4.9725346,4.78700115,5.25050693,8.8204128,10.4568433,13.69852096,14.22935916,13.78151997,14.77574692,15.4073478,14.4507569,16.3111787,15.89460086,0.58453976,0.71658939,0.77248378,0.711405262,1.40603823,1.8187176,2.308760546,2.5721092,2.548118437,3.193925066,4.51646763,3.946980144,4.75302972,4.85002538,0.007570366,0.008574415,0.010046052,0.007982085,0.018965136,0.026870041,0.032139525,0.038115072,0.041632015,0.060997153,0.128286195,0.09345834,0.130246564,0.132840672,0.051224586,0.044603131,0.051369374,0.036996204,0.055368534,0.053411629,0.052739191,0.063026517,0.045381014,0.054535106,0.092832257,0.069352615,0.065558336,0.060408956,1.8435404,1.657511533,1.59566705,1.750168977,2.9401376,3.485614433,4.566173653,4.74311972,4.59383999,4.925248973,5.1357826,4.816918967,5.437059567,3.973650215,2.3903868,2.337563,2.5217204,2.872374,6.165386,7.0442057,9.134925,11.307897,11.135231,11.823155,12.148594,11.559147,13.073783,12.819464
4,sum_root,2,3,3,4,6,10,12,15,20,26,40,40,57,66,3.6870808,4.9725346,4.78700115,6.11959233,12.01398808,16.66292422,23.68709378,29.11352102,34.40448635,44.66726334,60.36341999,61.10465056,72.66554986,80.07997527,0.58453976,0.71658939,0.77248378,0.832300372,1.807324643,2.668032663,3.819003239,4.691190634,5.466772684,7.786518921,12.01385769,13.69131011,15.35408906,17.48655041,0.007570366,0.008574415,0.010046052,0.009407526,0.023047245,0.036467689,0.051250783,0.063004842,0.076243481,0.121517683,0.237857743,0.275139709,0.318692744,0.366934942,0.051224586,0.044603131,0.051369374,0.03882373,0.049889131,0.045759142,0.047535918,0.049413955,0.048605563,0.052246163,0.063868008,0.076284605,0.071489899,0.069863458,1.8435404,1.657511533,1.59566705,1.529898083,2.002331347,1.666292422,1.973924482,1.940901401,1.720224317,1.717971667,1.5090855,1.527616264,1.274834208,1.213332959,2.3903868,2.337563,2.5217204,2.872374,6.165386,7.0442057,9.134925,11.307897,11.135231,11.823155,12.148594,11.559147,13.073783,12.819464
6,Lateralroot,0,0,0,0,0,5,11,21,26,33,41,41,42,52,0,0,0,0,0,0.265359204,0.942342128,3.227838652,6.209055463,10.82742576,17.81000461,19.57365792,23.74501562,34.74174554,0,0,0,0,0,0.024069862,0.117792253,0.301342625,0.803570946,1.498763482,2.373688522,2.279767627,2.690313133,4.994046159,0,0,0,0,0,0.000177165,0.001219627,0.002328015,0.008707419,0.017488881,0.027221886,0.022026334,0.025411812,0.062246833,0,0,0,0,0,0.027767792,0.036494731,0.03102031,0.041805285,0.042418453,0.039129759,0.036486486,0.035380565,0.041551486,0,0,0,0,0,0.053071841,0.085667466,0.153706602,0.238809826,0.328103811,0.434390356,0.489341448,0.565357515,0.668110491,0,0,0,0,0,0.105020516,0.22304122,0.39041126,0.58081144,0.90646946,3.3744195,1.8952254,2.677777,3.906362
6,primaryroot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.92583713,1.39196199,1.9710448,3.6912337,5.610401,7.0172345,8.4362116,10.0709005,12.551158,15.9526567,18.964669,21.5728,24.342615,27.516798,0.092534667,0.142306532,0.19542319,0.50849084,0.79557798,0.82988751,1.11476248,1.3289865,1.8082195,2.8199478,3.146796,3.6714078,3.8052662,4.4990766,0.000742786,0.001175093,0.001549175,0.005695438,0.009434113,0.008003532,0.011840898,0.014403251,0.022283827,0.040488075,0.043133659,0.052600539,0.050639943,0.062169205,0.031835528,0.032291632,0.031578833,0.043294406,0.043374243,0.036357049,0.041567214,0.040347474,0.04255775,0.054984961,0.051405324,0.052459603,0.046385949,0.049161077,0.462918565,0.695980995,0.9855224,1.84561685,2.8052005,3.50861725,4.2181058,5.03545025,6.275579,7.97632835,9.4823345,10.7864,12.1713075,13.758399,0.528723,0.78038615,1.1122046,1.9188048,2.8204513,3.6502678,4.7426753,5.375259,6.865321,8.250698,9.908454,11.709439,14.359247,16.035488
6,sum_root,2,2,2,2,2,7,13,23,28,35,43,42,44,54,0.92583713,1.39196199,1.9710448,3.6912337,5.610401,7.282593704,9.378553728,13.29873915,18.76021346,26.78008246,36.77467361,41.14645792,48.08763062,62.25854354,0.092534667,0.142306532,0.19542319,0.50849084,0.79557798,0.853957372,1.232554733,1.630329125,2.611790446,4.318711282,5.520484522,5.951175427,6.495579333,9.493122759,0.000742786,0.001175093,0.001549175,0.005695438,0.009434113,0.008180698,0.013060524,0.016731265,0.030991246,0.057976956,0.070355545,0.074626873,0.076051755,0.124416038,0.031835528,0.032291632,0.031578833,0.043294406,0.043374243,0.030221866,0.037275113,0.031831367,0.041859032,0.043136539,0.039700715,0.037247111,0.03588081,0.041833323,0.462918565,0.695980995,0.9855224,1.84561685,2.8052005,1.040370529,0.72142721,0.57820605,0.670007624,0.765145213,0.855224968,0.97967757,1.092900696,1.152935991,0.528723,0.78038615,1.1122046,1.9188048,2.8204513,3.6502678,4.7426753,5.375259,6.865321,8.250698,9.908454,11.709439,14.359247,16.035488
6,Lateralroot,0,0,0,0,0,5,11,19,22,26,43,61,75,76,0,0,0,0,0,0.394196424,2.431366954,5.72507809,8.440042933,15.51112993,47.40623396,74.59296772,83.09889183,98.16560819,0,0,0,0,0,0.024368648,0.233573873,0.405600823,0.582730272,1.294581234,6.79946634,9.316480242,13.22032969,18.33390132,0,0,0,0,0,0.000122398,0.001831374,0.00236308,0.003343094,0.009017602,0.086663472,0.098163823,0.196819062,0.329612526,0,0,0,0,0,0.018757924,0.030390424,0.022912708,0.023303314,0.026733904,0.043298544,0.039285961,0.048012905,0.056791402,0,0,0,0,0,0.078839285,0.221033359,0.301319899,0.383638315,0.59658192,1.102470557,1.222835536,1.107985224,1.291652739,0,0,0,0,0,0.16378045,0.54306287,0.7315661,0.82711744,1.5327178,3.9920058,5.4836555,6.221193,5.8334336
6,primaryroot,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.09286597,3.01838909,4.9624152,2.1767257,2.9217316,5.6029763,9.9241324,11.1391487,10.6570988,11.7293244,17.987995,17.4903134,17.5414114,22.197731,0.181237278,0.267484516,0.6322517,0.173307168,0.24227695,0.50905751,1.25204737,1.11296764,0.99277094,1.29238746,3.4066956,3.3442813,3.5783749,4.8400793,0.00131809,0.001949858,0.006717862,0.001134582,0.001695935,0.003825321,0.012984887,0.008986096,0.007601957,0.011935721,0.055325107,0.057045072,0.065724505,0.094837636,0.025466741,0.028344893,0.038394197,0.024710278,0.024440322,0.027181206,0.039012711,0.031233158,0.02925158,0.034146379,0.05565474,0.055373254,0.060287871,0.06234308,0.69762199,1.006129697,1.6541384,1.08836285,1.4608658,2.80148815,4.9620662,5.56957435,5.3285494,5.8646622,8.9939975,8.7451567,8.7707057,11.0988655,1.1775837,1.8224677,2.587681,1.3489186,1.8839046,3.6311278,6.242255,6.79813,6.9965873,7.8390117,12.12314,11.893452,12.000082,11.97322
6,sum_root,3,3,3,2,2,7,13,21,24,28,45,63,77,78,2.09286597,3.01838909,4.9624152,2.1767257,2.9217316,5.997172724,12.35549935,16.86422679,19.09714173,27.24045433,65.39422896,92.08328112,100.6403032,120.3633392,0.181237278,0.267484516,0.6322517,0.173307168,0.24227695,0.533426158,1.485621243,1.518568463,1.575501212,2.586968694,10.20616194,12.66076154,16.79870459,23.17398062,0.00131809,0.001949858,0.006717862,0.001134582,0.001695935,0.003947719,0.014816261,0.011349176,0.010945051,0.020953323,0.141988579,0.155208895,0.262543567,0.424450162,0.025466741,0.028344893,0.038394197,0.024710278,0.024440322,0.021164576,0.03171693,0.023705132,0.023799003,0.027263366,0.043847708,0.039796669,0.048331735,0.056933753,0.69762199,1.006129697,1.6541384,1.08836285,1.4608658,0.856738961,0.950423027,0.803058419,0.795714239,0.972873369,1.453205088,1.461639383,1.307016925,1.543119733,1.1775837,1.8224677,2.587681,1.3489186,1.8839046,3.6311278,6.242255,6.79813,6.9965873,7.8390117,12.12314,11.893452,12.000082,11.97322
6,Lateralroot,0,0,0,1,3,3,3,4,6,7,8,11,13,13,0,0,0,0.15911454,0.688944797,0.861558773,0.868448283,0.901417023,2.252419789,2.520161748,6.103292328,13.35257005,11.51700818,12.61613243,0,0,0,0.016609805,0.089735814,0.096046425,0.111363496,0.107741315,0.34810894,0.434581226,0.854766442,2.001959279,1.637068488,1.782905933,0,0,0,0.000139523,0.000969473,0.000856089,0.001183732,0.00110965,0.004372823,0.006453073,0.009949628,0.02517987,0.019409352,0.020858716,0,0,0,0.03335415,0.040144663,0.037000092,0.04311533,0.043540907,0.04702003,0.053719341,0.043309528,0.041937784,0.046593292,0.042835373,0,0,0,0.15911454,0.229648266,0.287186258,0.289482761,0.225354256,0.375403298,0.360023107,0.762911541,1.213870004,0.885923706,0.970471725,0,0,0,0.15911454,0.45678642,0.5209211,0.545685,0.48856416,0.8148032,0.5920764,1.3895435,4.3833494,2.4566958,2.647145
6,primaryroot,1,3,3,3,3,3,3,3,3,3,3,3,4,4,0.4423873,3.03938063,5.8982536,8.2325875,10.8488591,13.3650835,14.7689682,16.7525453,24.0538767,28.5980194,31.8139511,32.294061,34.8842949,38.7202399,0.06495631,0.33585237,0.94561724,1.27857166,1.6990141,1.76412526,2.12152947,2.38897437,3.86768784,5.3507607,5.5997152,5.35828323,5.53004632,6.96283281,0.000785931,0.003073176,0.012169147,0.016014141,0.021641236,0.018873458,0.025035097,0.027525049,0.051428908,0.085027798,0.081811883,0.074356335,0.073433535,0.104121776,0.044248924,0.035752509,0.050811394,0.04904727,0.048431957,0.041293513,0.044209791,0.044695394,0.047832598,0.056657224,0.055764536,0.050455173,0.043459125,0.051404027,0.4423873,1.013126877,1.966084533,2.744195833,3.616286367,4.455027833,4.9229894,5.584181767,8.0179589,9.532673133,10.60465037,10.764687,8.721073725,9.680059975,0.4423873,1.1334419,2.0199203,3.547798,4.2776513,5.4418597,6.0671716,6.91084,9.974604,12.265076,14.8439245,15.193614,16.219334,18.105158
